# VIX Monthly Final Settlement — explicit date table
# Format: YYYY-MM,YYYY-MM-DD,Note
#
# ルール: VIX決済 = 対応SPX月次オプション満期の 30 カレンダー日前
# 通常は水曜、祝日による繰上げで火曜/木曜になる場合あり
# 出典: Macroption + Pirate Traders（2026-04-18 JST 取得、2ソース一致）
#
# コメント行は # または空行で無視される
# === 2026 ===
2026-01,2026-01-21,通常（水曜）
2026-02,2026-02-18,通常（水曜）
2026-03,2026-03-18,通常（水曜）
2026-04,2026-04-15,通常（水曜）
2026-05,2026-05-19,不規則（火曜）Juneteenth 6/19でSPX 6月限が6/18木に繰上→30日前逆算
2026-06,2026-06-17,通常（水曜）
2026-07,2026-07-22,通常（水曜）
2026-08,2026-08-19,通常（水曜）
2026-09,2026-09-16,通常（水曜）
2026-10,2026-10-21,通常（水曜）
2026-11,2026-11-18,通常（水曜）
2026-12,2026-12-16,通常（水曜）
